State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,WEST GODAVARI,Dry chillies,2001-02,Kharif,40,Hectare,145,Tonnes,3.625
Andhra Pradesh,WEST GODAVARI,Dry chillies,2001-02,Rabi,4258,Hectare,6149,Tonnes,1.444105214
Andhra Pradesh,WEST GODAVARI,Dry chillies,2002-03,Kharif,22,Hectare,43,Tonnes,1.954545455
Andhra Pradesh,WEST GODAVARI,Dry chillies,2002-03,Rabi,3549,Hectare,4766,Tonnes,1.342913497
Andhra Pradesh,WEST GODAVARI,Dry chillies,2003-04,Kharif,40,Hectare,176,Tonnes,4.4
Andhra Pradesh,WEST GODAVARI,Dry chillies,2003-04,Rabi,3734,Hectare,4526,Tonnes,1.212104981
Andhra Pradesh,KARIMNAGAR,Ginger,2001-02,Whole Year,2,Hectare,5,Tonnes,2.5
Andhra Pradesh,KRISHNA,Ginger,2001-02,Whole Year,14,Hectare,37,Tonnes,2.642857143
Andhra Pradesh,KRISHNA,Ginger,2002-03,Whole Year,12,Hectare,20,Tonnes,1.666666667
Andhra Pradesh,KRISHNA,Ginger,2003-04,Whole Year,13,Hectare,37,Tonnes,2.846153846
Andhra Pradesh,MEDAK,Ginger,2001-02,Whole Year,1096,Hectare,2497,Tonnes,2.278284672
